id,state,value,date,fuel_type,fuel_type_code,fips,abbrev
30_1_2012_1,Montana,36280004,1/1/2012 0:00,Gasoline/gasohol,1,30,MT
31_1_2012_1,Nebraska,65159908,1/1/2012 0:00,Gasoline/gasohol,1,31,NE
1_1_2012_1,Alabama,216458384,1/1/2012 0:00,Gasoline/gasohol,1,1,AL
32_1_2012_1,Nevada,85218880,1/1/2012 0:00,Gasoline/gasohol,1,32,NV
2_1_2012_1,Alaska,22350342,1/1/2012 0:00,Gasoline/gasohol,1,2,AK
4_1_2012_1,Arizona,217135808,1/1/2012 0:00,Gasoline/gasohol,1,4,AZ
5_1_2012_1,Arkansas,112334952,1/1/2012 0:00,Gasoline/gasohol,1,5,AR
6_1_2012_1,California,1166817280,1/1/2012 0:00,Gasoline/gasohol,1,6,CA
8_1_2012_1,Colorado,169639120,1/1/2012 0:00,Gasoline/gasohol,1,8,CO
9_1_2012_1,Connecticut,114839192,1/1/2012 0:00,Gasoline/gasohol,1,9,CT
10_1_2012_1,Delaware,33156308,1/1/2012 0:00,Gasoline/gasohol,1,10,DE
11_1_2012_1,DC,10803381,1/1/2012 0:00,Gasoline/gasohol,1,11,DC
12_1_2012_1,Florida,687375168,1/1/2012 0:00,Gasoline/gasohol,1,12,FL
13_1_2012_1,Georgia,371274048,1/1/2012 0:00,Gasoline/gasohol,1,13,GA
15_1_2012_1,Hawaii,36634752,1/1/2012 0:00,Gasoline/gasohol,1,15,HI
16_1_2012_1,Idaho,54007932,1/1/2012 0:00,Gasoline/gasohol,1,16,ID
17_1_2012_1,Illinois,379362944,1/1/2012 0:00,Gasoline/gasohol,1,17,IL
18_1_2012_1,Indiana,233810816,1/1/2012 0:00,Gasoline/gasohol,1,18,IN
19_1_2012_1,Iowa,127229112,1/1/2012 0:00,Gasoline/gasohol,1,19,IA
20_1_2012_1,Kansas,103289904,1/1/2012 0:00,Gasoline/gasohol,1,20,KS
21_1_2012_1,Kentucky,165559728,1/1/2012 0:00,Gasoline/gasohol,1,21,KY
22_1_2012_1,Louisiana,180087904,1/1/2012 0:00,Gasoline/gasohol,1,22,LA
23_1_2012_1,Maine,54186056,1/1/2012 0:00,Gasoline/gasohol,1,23,ME
24_1_2012_1,Maryland,232811872,1/1/2012 0:00,Gasoline/gasohol,1,24,MD
25_1_2012_1,Massachusetts,217439760,1/1/2012 0:00,Gasoline/gasohol,1,25,MA
26_1_2012_1,Michigan,345453312,1/1/2012 0:00,Gasoline/gasohol,1,26,MI
27_1_2012_1,Minnesota,243007648,1/1/2012 0:00,Gasoline/gasohol,1,27,MN
28_1_2012_1,Mississippi,117529848,1/1/2012 0:00,Gasoline/gasohol,1,28,MS
29_1_2012_1,Missouri,240278272,1/1/2012 0:00,Gasoline/gasohol,1,29,MO
33_1_2012_1,New Hampshire,55389264,1/1/2012 0:00,Gasoline/gasohol,1,33,NH
34_1_2012_1,New Jersey,310548576,1/1/2012 0:00,Gasoline/gasohol,1,34,NJ
35_1_2012_1,New Mexico,74048088,1/1/2012 0:00,Gasoline/gasohol,1,35,NM
36_1_2012_1,New York,492654272,1/1/2012 0:00,Gasoline/gasohol,1,36,NY
37_1_2012_1,North Carolina,328735168,1/1/2012 0:00,Gasoline/gasohol,1,37,NC
38_1_2012_1,North Dakota,30466430,1/1/2012 0:00,Gasoline/gasohol,1,38,ND
39_1_2012_1,Ohio,385330848,1/1/2012 0:00,Gasoline/gasohol,1,39,OH
40_1_2012_1,Oklahoma,175871968,1/1/2012 0:00,Gasoline/gasohol,1,40,OK
