date,date,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh
2017-April,2017-April,15710,8033,23743,5903945,5927688
2017-August,2017-August,17191,8882,26073,5918315,5944388
2017-December,2017-December,18688,9828,28516,5951617,5980133
2017-February,2017-February,14835,7638,22473,5909019,5931492
2017-January,2017-January,14362,7436,21798,5919408,5941206
2017-July,2017-July,16901,8672,25573,5910633,5936206
2017-June,2017-June,16510,8496,25006,5910458,5935464
2017-March,2017-March,15226,7839,23065,5908529,5931594
2017-May,2017-May,16105,8247,24352,5906086,5930438
2017-November,2017-November,18384,9600,27984,5943359,5971343
2017-October,2017-October,18040,9367,27407,5934653,5962060
2017-September,2017-September,17593,9107,26700,5925857,5952557
2018-April,2018-April,20402,11189,31591,5975005,6006596
2018-August,2018-August,22959,12603,35562,6022112,6057674
2018-December,2018-December,27048,13930,40978,6054630,6095608
2018-February,2018-February,19469,10528,29997,5956965,5986962
2018-January,2018-January,19227,10235,29462,5962262,5991724
2018-July,2018-July,22387,12300,34687,6010898,6045585
2018-June,2018-June,21866,12016,33882,5999802,6033684
2018-March,2018-March,19885,10863,30748,5965822,5996570
2018-May,2018-May,21155,11601,32756,5987209,6019965
2018-November,2018-November,26117,13627,39744,6050257,6090001
2018-October,2018-October,24871,13272,38143,6041339,6079482
2018-September,2018-September,23531,12923,36454,6028439,6064893
2019-April,2019-April,30300,14820,45120,6075411,6120531
2019-August,2019-August,33490,15742,49232,6120072,6169304
2019-December,2019-December,36917,16553,53470,6144968,6198438
2019-February,2019-February,29000,14449,43449,6057210,6100659
2019-January,2019-January,28433,14297,42730,6064049,6106779
2019-July,2019-July,32765,15547,48312,6112227,6160539
2019-June,2019-June,31807,15306,47113,6098782,6145895
2019-March,2019-March,29328,14574,43902,6061005,6104907
2019-May,2019-May,30982,15081,46063,6089217,6135280
2019-November,2019-November,36270,16394,52664,6141878,6194542
2019-October,2019-October,35817,16231,52048,6138855,6190903
2019-September,2019-September,34250,15960,50210,6127307,6177517
2020-April,2020-April,40434,16970,57404,6119224,6176628
2020-August,2020-August,42651,17335,59986,6117963,6177949
2020-December,2020-December,46351,18254,64605,6144129,6208734
2020-February,2020-February,39379,16872,56251,6162386,6218637
2020-January,2020-January,38914,16759,55673,6161131,6216804
2020-July,2020-July,42060,17194,59254,6113245,6172499
2020-June,2020-June,40683,17066,57749,6102843,6160592
2020-March,2020-March,40090,17008,57098,6153226,6210324
2020-May,2020-May,40422,16972,57394,6096935,6154329
2020-November,2020-November,45563,17968,63531,6136989,6200520
2020-October,2020-October,44214,17793,62007,6136453,6198460
2020-September,2020-September,43213,17540,60753,6127489,6188242
2021-April,2021-April,51427,19679,71106,6179961,6251067
2021-August,2021-August,57330,21473,78803,6173202,6252005
2021-December,2021-December,63358,22900,86258,6153602,6239860
2021-February,2021-February,48766,18877,67643,6140284,6207927
2021-January,2021-January,47905,18589,66494,6143026,6209520
2021-July,2021-July,55812,21060,76872,6177760,6254632
2021-June,2021-June,53781,20662,74443,6183271,6257714
2021-March,2021-March,49581,19230,68811,6153804,6222615
2021-May,2021-May,52669,20080,72749,6180208,6252957
2021-November,2021-November,61858,22621,84479,6162529,6247008
2021-October,2021-October,60242,22209,82451,6164984,6247435
2021-September,2021-September,58526,21795,80321,6172068,6252389
2022-April,2022-April,70513,24328,94841,6112712,6207553
2022-August,2022-August,78191,26059,104250,6077094,6181344
2022-December,2022-December,88099,27512,115611,6053781,6169392
2022-February,2022-February,66534,23535,90069,6133196,6223265
2022-January,2022-January,64945,23233,88178,6141265,6229443
2022-July,2022-July,75931,25606,101537,6082534,6184071
2022-June,2022-June,73504,25299,98803,6098173,6196976
2022-March,2022-March,68126,23975,92101,6121393,6213494
2022-May,2022-May,71874,24793,96667,6099291,6195958
2022-November,2022-November,85851,27090,112941,6062473,6175414
2022-October,2022-October,82728,26746,109474,6067042,6176516
2022-September,2022-September,79527,26400,105927,6073451,6179378
2023-April,2023-April,99213,30086,129299,5988622,6117921
2023-February,2023-February,93603,28563,122166,6032169,6154335
2023-January,2023-January,91231,28032,119263,6045475,6164738
2023-July,2023-July,108593,31976,140569,5859272,5999841
2023-June,2023-June,105579,31575,137154,5935702,6072856
2023-March,2023-March,95975,29194,125169,6006782,6131951
2023-May,2023-May,102522,30816,133338,5968396,6101734
