,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
1,April,2017,Island,WA,Passenger,108,128,236,59768,60004,0.39,Washington,Washington
2,April,2017,Clark,WA,Truck,0,0,0,77561,77561,0.0,Washington,Washington
6,April,2017,Jefferson,WA,Passenger,98,56,154,23744,23898,0.64,Washington,Washington
10,April,2017,Yakima,WA,Truck,0,0,0,57219,57219,0.0,Washington,Washington
12,April,2017,Skamania,WA,Truck,0,0,0,3874,3874,0.0,Washington,Washington
13,April,2017,Whitman,WA,Passenger,9,19,28,21964,21992,0.13,Washington,Washington
15,April,2017,Clark,WA,Passenger,755,471,1226,298474,299700,0.41,Washington,Washington
16,April,2017,Adams,WA,Passenger,2,3,5,12128,12133,0.04,Washington,Washington
17,April,2017,Franklin,WA,Passenger,27,47,74,55348,55422,0.13,Washington,Washington
18,April,2017,Ferry,WA,Truck,0,0,0,3549,3549,0.0,Washington,Washington
19,April,2017,San Juan,WA,Truck,0,0,0,5551,5551,0.0,Washington,Washington
22,April,2017,Klickitat,WA,Passenger,22,23,45,14768,14813,0.3,Washington,Washington
25,April,2017,Skagit,WA,Truck,1,0,1,31395,31396,0.0,Washington,Washington
27,April,2017,San Juan,WA,Passenger,98,35,133,13479,13612,0.98,Washington,Washington
30,April,2017,Adams,WA,Truck,0,0,0,5072,5072,0.0,Washington,Washington
31,April,2017,Lewis,WA,Passenger,46,33,79,55192,55271,0.14,Washington,Washington
33,April,2017,Whatcom,WA,Truck,2,0,2,41449,41451,0.0,Washington,Washington
34,April,2017,Lincoln,WA,Truck,0,0,0,4464,4464,0.0,Washington,Washington
38,April,2017,Grays Harbor,WA,Truck,0,0,0,19850,19850,0.0,Washington,Washington
40,April,2017,Okanogan,WA,Passenger,3,16,19,25595,25614,0.07,Washington,Washington
42,April,2017,Kitsap,WA,Truck,1,0,1,52312,52313,0.0,Washington,Washington
45,April,2017,Garfield,WA,Truck,0,0,0,938,938,0.0,Washington,Washington
48,April,2017,Lewis,WA,Truck,0,0,0,24797,24797,0.0,Washington,Washington
49,April,2017,Asotin,WA,Passenger,6,2,8,12343,12351,0.06,Washington,Washington
53,April,2017,Thurston,WA,Passenger,385,319,704,185729,186433,0.38,Washington,Washington
56,April,2017,Walla Walla,WA,Passenger,22,24,46,34828,34874,0.13,Washington,Washington
57,April,2017,Stevens,WA,Passenger,8,22,30,31233,31263,0.1,Washington,Washington
58,April,2017,Okanogan,WA,Truck,0,0,0,16256,16256,0.0,Washington,Washington
59,April,2017,Pierce,WA,Truck,0,0,0,137818,137818,0.0,Washington,Washington
60,April,2017,Douglas,WA,Passenger,31,21,52,26603,26655,0.2,Washington,Washington
61,April,2017,Franklin,WA,Truck,0,0,0,17995,17995,0.0,Washington,Washington
71,April,2017,Spokane,WA,Truck,1,0,1,90266,90267,0.0,Washington,Washington
75,April,2017,King,WA,Truck,8,1,9,188938,188947,0.0,Washington,Washington
77,April,2017,Klickitat,WA,Truck,0,0,0,7954,7954,0.0,Washington,Washington
82,April,2017,Clallam,WA,Passenger,80,68,148,48127,48275,0.31,Washington,Washington
83,April,2017,Thurston,WA,Truck,0,0,0,53255,53255,0.0,Washington,Washington
86,April,2017,Pacific,WA,Truck,0,0,0,7464,7464,0.0,Washington,Washington
90,April,2017,Columbia,WA,Truck,0,0,0,1536,1536,0.0,Washington,Washington
92,April,2017,Lincoln,WA,Passenger,2,4,6,7481,7487,0.08,Washington,Washington
101,April,2017,Grant,WA,Truck,0,0,0,25091,25091,0.0,Washington,Washington
105,April,2017,Pacific,WA,Passenger,9,8,17,15082,15099,0.11,Washington,Washington
106,April,2017,Jefferson,WA,Truck,0,0,0,9442,9442,0.0,Washington,Washington
110,April,2017,Yakima,WA,Passenger,38,54,92,159283,159375,0.06,Washington,Washington
114,April,2017,Walla Walla,WA,Truck,0,0,0,13177,13177,0.0,Washington,Washington
115,April,2017,Chelan,WA,Truck,0,0,0,21208,21208,0.0,Washington,Washington
117,April,2017,Grant,WA,Passenger,18,21,39,60489,60528,0.06,Washington,Washington
118,April,2017,Whitman,WA,Truck,0,0,0,8380,8380,0.0,Washington,Washington
122,April,2017,Spokane,WA,Passenger,236,208,444,295746,296190,0.15,Washington,Washington
123,April,2017,Grays Harbor,WA,Passenger,29,30,59,44477,44536,0.13,Washington,Washington
125,April,2017,Wahkiakum,WA,Passenger,0,2,2,2848,2850,0.07,Washington,Washington
127,April,2017,Skamania,WA,Passenger,9,8,17,8521,8538,0.2,Washington,Washington
130,April,2017,Mason,WA,Truck,0,0,0,19242,19242,0.0,Washington,Washington
136,April,2017,King,WA,Passenger,9558,3882,13440,1378548,1391988,0.97,Washington,Washington
138,April,2017,Clallam,WA,Truck,0,0,0,20962,20962,0.0,Washington,Washington
140,April,2017,Pierce,WA,Passenger,917,807,1724,525754,527478,0.33,Washington,Washington
142,April,2017,Benton,WA,Passenger,143,140,283,128087,128370,0.22,Washington,Washington
143,April,2017,Island,WA,Truck,0,0,0,20526,20526,0.0,Washington,Washington
146,April,2017,Kittitas,WA,Truck,0,0,0,13478,13478,0.0,Washington,Washington
149,April,2017,Skagit,WA,Passenger,123,97,220,87597,87817,0.25,Washington,Washington
150,April,2017,Stevens,WA,Truck,0,0,0,18286,18286,0.0,Washington,Washington
151,April,2017,Cowlitz,WA,Truck,0,0,0,27856,27856,0.0,Washington,Washington
152,April,2017,Snohomish,WA,Passenger,1709,861,2570,512767,515337,0.5,Washington,Washington
158,April,2017,Ferry,WA,Passenger,2,1,3,4397,4400,0.07,Washington,Washington
159,April,2017,Kitsap,WA,Passenger,584,298,882,172672,173554,0.51,Washington,Washington
161,April,2017,Douglas,WA,Truck,0,0,0,11451,11451,0.0,Washington,Washington
162,April,2017,Wahkiakum,WA,Truck,0,0,0,1631,1631,0.0,Washington,Washington
165,April,2017,Chelan,WA,Passenger,55,31,86,51695,51781,0.17,Washington,Washington
166,April,2017,Mason,WA,Passenger,49,64,113,43002,43115,0.26,Washington,Washington
172,April,2017,Columbia,WA,Passenger,0,1,1,2358,2359,0.04,Washington,Washington
173,April,2017,Asotin,WA,Truck,0,0,0,6504,6504,0.0,Washington,Washington
175,April,2017,Whatcom,WA,Passenger,441,159,600,142459,143059,0.42,Washington,Washington
178,April,2017,Garfield,WA,Passenger,0,0,0,1283,1283,0.0,Washington,Washington
