,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
0,April,2017,Pinal,AZ,Passenger,2,0,2,254,256,0.78,Nearest,Arizona
3,April,2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06,Furthest,Pennsylvania
4,April,2017,Shelby,TN,Passenger,0,1,1,109,110,0.91,Furthest,Tennessee
5,April,2017,Dale,AL,Passenger,0,1,1,65,66,1.52,Furthest,Alabama
8,April,2017,Harnett,NC,Passenger,1,0,1,257,258,0.39,Furthest,North Carolina
9,April,2017,Salt Lake,UT,Passenger,0,1,1,289,290,0.34,Nearest,Utah
11,April,2017,Montgomery,PA,Passenger,1,0,1,41,42,2.38,Furthest,Pennsylvania
14,April,2017,Utah,UT,Passenger,0,1,1,164,165,0.61,Nearest,Utah
20,April,2017,Los Angeles,CA,Passenger,3,1,4,1345,1349,0.3,Nearest,California
21,April,2017,Lee,AL,Passenger,1,0,1,35,36,2.78,Furthest,Alabama
23,April,2017,Clark,NV,Passenger,1,3,4,857,861,0.46,Nearest,Nevada
24,April,2017,Tarrant,TX,Passenger,0,2,2,273,275,0.73,Mid-Distance,Texas
26,April,2017,Monterey,CA,Passenger,0,1,1,210,211,0.47,Nearest,California
28,April,2017,Douglas,OR,Passenger,0,1,1,74,75,1.33,Nearest,Oregon
29,April,2017,Montgomery,TN,Passenger,1,0,1,293,294,0.34,Furthest,Tennessee
32,April,2017,Lane,OR,Passenger,0,1,1,247,248,0.4,Nearest,Oregon
35,April,2017,Cobb,GA,Passenger,0,1,1,77,78,1.28,Furthest,Georgia
36,April,2017,Juneau,AK,Passenger,0,1,1,53,54,1.85,Nearest,Alaska
37,April,2017,Morris,NJ,Passenger,1,0,1,22,23,4.35,Furthest,New Jersey
39,April,2017,Wayne,MI,Passenger,0,1,1,70,71,1.41,Furthest,Michigan
41,April,2017,Canyon,ID,Passenger,0,1,1,102,103,0.97,Nearest,Idaho
43,April,2017,Fulton,GA,Passenger,1,1,2,119,121,1.65,Furthest,Georgia
44,April,2017,Manatee,FL,Passenger,1,0,1,48,49,2.04,Furthest,Florida
46,April,2017,Nassau,NY,Passenger,0,1,1,40,41,2.44,Furthest,New York
47,April,2017,Multnomah,OR,Passenger,0,3,3,1068,1071,0.28,Nearest,Oregon
50,April,2017,Latah,ID,Passenger,0,1,1,120,121,0.83,Nearest,Idaho
51,April,2017,Santa Clara,CA,Passenger,6,2,8,411,419,1.91,Nearest,California
52,April,2017,Moore,NC,Passenger,0,1,1,205,206,0.49,Furthest,North Carolina
54,April,2017,Middlesex,MA,Passenger,1,0,1,148,149,0.67,Furthest,Massachusetts
55,April,2017,Bexar,TX,Passenger,1,0,1,1025,1026,0.1,Mid-Distance,Texas
62,April,2017,Manassas,VA,Passenger,0,1,1,10,11,9.09,Furthest,Virginia
63,April,2017,Albemarle,VA,Passenger,0,1,1,31,32,3.12,Furthest,Virginia
64,April,2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55,Furthest,Maryland
65,April,2017,Hamilton,TN,Passenger,1,0,1,26,27,3.7,Furthest,Tennessee
66,April,2017,Tulare,CA,Passenger,1,0,1,194,195,0.51,Nearest,California
67,April,2017,Franklin,MA,Passenger,0,1,1,4,5,20.0,Furthest,Massachusetts
68,April,2017,Hardin,KY,Passenger,0,1,1,123,124,0.81,Furthest,Kentucky
69,April,2017,Fairfax,VA,Passenger,2,2,4,860,864,0.46,Furthest,Virginia
70,April,2017,Okaloosa,FL,Passenger,1,0,1,194,195,0.51,Furthest,Florida
72,April,2017,Hamilton,IN,Passenger,1,0,1,61,62,1.61,Furthest,Indiana
73,April,2017,Muscogee,GA,Passenger,0,1,1,247,248,0.4,Furthest,Georgia
74,April,2017,Nueces,TX,Passenger,0,1,1,98,99,1.01,Mid-Distance,Texas
76,April,2017,Franklin,OH,Passenger,0,1,1,126,127,0.79,Furthest,Ohio
78,April,2017,Virginia Beach,VA,Passenger,2,1,3,645,648,0.46,Furthest,Virginia
79,April,2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88,Furthest,New Jersey
